{'family': 'W', 'seed': 90132, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.5205078125, 'auc_gpu': 0.5205078125, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.1268646717071533, 'secs_gpu': 1.798163652420044, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90132, 'r': 2, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7333984375, 'auc_gpu': 0.7333984375, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.332981824874878, 'secs_gpu': 2.1543638706207275, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90132, 'r': 3, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7041015625, 'auc_gpu': 0.7041015625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.235341548919678, 'secs_gpu': 2.2308030128479004, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90132, 'r': 4, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.681640625, 'auc_gpu': 0.681640625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 7.936488628387451, 'secs_gpu': 2.5265133380889893, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90133, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.5185546875, 'auc_gpu': 0.5185546875, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.47495698928833, 'secs_gpu': 1.8759441375732422, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90133, 'r': 2, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7548828125, 'auc_gpu': 0.7548828125, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 3.989384651184082, 'secs_gpu': 2.0214202404022217, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90133, 'r': 3, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7509765625, 'auc_gpu': 0.7509765625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 6.230235576629639, 'secs_gpu': 2.6814188957214355, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90133, 'r': 4, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.75, 'auc_gpu': 0.75, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 7.307679653167725, 'secs_gpu': 2.513676166534424, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90134, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.5146484375, 'auc_gpu': 0.5146484375, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.309077501296997, 'secs_gpu': 1.5894255638122559, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90134, 'r': 2, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7529296875, 'auc_gpu': 0.7529296875, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.058379173278809, 'secs_gpu': 2.200941562652588, 'auc_diff': 0.0}
