t_rel,util,mem_mib
656.55,99,15581
657.06,97,15581
657.57,99,15581
658.08,97,15581
658.58,98,15581
659.09,99,15581
659.60,99,15581
660.11,98,15581
660.61,98,15581
661.12,99,15581
661.62,98,15581
662.14,100,15581
662.64,100,15581
663.15,100,15581
663.67,99,15581
664.18,98,15581
664.68,99,15581
665.19,98,15581
665.71,98,15581
666.22,99,15581
666.73,98,15581
667.23,98,15586
667.75,99,15586
668.26,98,15586
668.76,99,15586
669.27,99,15586
669.79,99,15586
670.30,98,15586
670.81,100,15586
671.32,98,15586
671.83,97,15586
672.34,98,15586
672.84,99,15582
673.36,100,15582
673.86,99,15582
674.37,99,15582
674.87,99,15582
675.38,100,15582
675.90,100,15582
676.40,99,15582
676.90,98,15582
677.42,98,15582
677.93,99,15582
678.44,98,15582
678.94,98,15582
679.45,98,15582
679.96,97,15590
680.47,99,15590
680.97,98,15590
681.48,96,15590
681.99,99,15582
682.50,99,15582
683.01,99,15582
683.53,98,15582
684.04,99,15582
684.55,100,15582
685.07,100,15582
685.57,99,15582
686.08,99,15582
686.58,100,15582
687.09,99,15582
687.60,99,15582
688.11,99,15582
688.62,97,15582
689.13,98,15582
689.64,99,15582
690.15,98,15582
690.66,98,15582
691.17,99,15582
691.69,98,15582
692.20,99,15582
692.72,99,15582
693.23,99,15582
693.73,99,15582
694.24,99,15582
694.74,99,15582
695.25,97,15582
695.75,96,15582
696.26,100,15582
696.76,99,15582
697.28,100,15582
697.78,100,15582
698.29,99,15582
698.80,99,15582
699.31,99,15582
699.81,99,15582
700.32,99,15582
700.84,99,15582
701.35,98,15582
701.85,98,15582
702.35,99,15582
702.87,97,15582
703.38,99,15582
703.89,98,15582
704.40,99,15582
704.92,100,15582
705.43,98,15582
705.94,98,15582
706.45,98,15582
706.95,100,15582
707.46,100,15582
707.97,98,15582
708.48,99,15582
708.99,100,15582
709.50,99,15582
710.01,99,15582
710.52,99,15582
711.02,98,15582
711.54,99,15582
712.05,99,15582
712.56,97,15582
713.06,99,15582
713.57,97,15582
714.08,99,15582
714.59,98,15582
715.10,98,15582
715.61,98,15582
716.11,99,15582
716.62,99,15582
717.14,98,15582
717.65,99,15582
718.16,100,15582
718.67,97,15582
719.18,100,15582
719.69,100,15582
720.20,98,15582
720.70,98,15582
721.22,99,15582
721.73,98,15582
722.25,99,15582
722.76,98,15582
723.26,99,15582
723.77,98,15582
724.27,99,15582
724.79,99,15582
725.29,98,15582
725.80,98,15582
726.31,99,15582
726.82,99,15582
727.32,98,15582
727.83,98,15586
728.35,98,15586
728.85,98,15586
729.36,100,15586
729.88,99,15586
730.39,99,15586
730.90,100,15586
731.41,99,15586
731.92,99,15586
732.44,98,15586
732.95,99,15586
733.46,99,15582
733.97,98,15582
734.48,98,15582
734.99,99,15582
735.50,98,15582
736.01,97,15582
736.51,98,15582
737.02,99,15582
737.54,98,15582
738.04,97,15582
738.55,98,15582
739.05,96,15582
739.56,99,15582
740.07,100,15582
740.58,99,15582
741.10,100,15582
741.61,99,15582
742.12,99,15582
742.63,98,15582
743.13,99,15582
743.64,99,15582
744.15,99,15582
744.66,98,15582
745.17,99,15582
745.67,99,15582
746.19,99,15582
746.70,98,15582
747.21,99,15582
747.72,98,15582
748.24,99,15582
748.75,98,15582
749.25,99,15582
749.76,99,15582
750.27,100,15582
750.78,100,15582
751.29,97,15582
751.80,99,15582
752.31,100,15582
752.82,99,15582
753.33,99,15582
753.84,99,15582
754.34,97,15582
754.86,99,15582
755.37,99,15582
755.88,98,15582
756.38,99,15582
756.89,98,15582
