# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
pair_birth_id,src,tar,du,dv,n_syn,n_syn_json,sign,provenance,json_index,json_offset_order
3c6174ab5da5,Lawf2,L3,0,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,3
3c6174ab5da5,Lawf2,L3,1,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,4
3c6174ab5da5,Lawf2,L3,2,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,5
3c6174ab5da5,Lawf2,L3,3,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,6
3c6174ab5da5,Lawf2,L3,4,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,7
3c6174ab5da5,Lawf2,L3,-4,0,1.9090908765792847,1.9090909090909092,1,in_json,119,8
3c6174ab5da5,Lawf2,L3,-3,0,1.9090908765792847,1.9090909090909092,1,in_json,119,9
3c6174ab5da5,Lawf2,L3,-2,0,1.9090908765792847,1.9090909090909092,1,in_json,119,10
3c6174ab5da5,Lawf2,L3,-1,0,1.9090908765792847,1.9090909090909092,1,in_json,119,11
3c6174ab5da5,Lawf2,L3,0,0,1.9090908765792847,1.9090909090909092,1,in_json,119,12
3c6174ab5da5,Lawf2,L3,1,0,1.9090908765792847,1.9090909090909092,1,in_json,119,13
3c6174ab5da5,Lawf2,L3,2,0,1.9090908765792847,1.9090909090909092,1,in_json,119,14
3c6174ab5da5,Lawf2,L3,3,0,1.9090908765792847,1.9090909090909092,1,in_json,119,15
3c6174ab5da5,Lawf2,L3,4,0,1.9090908765792847,1.9090909090909092,1,in_json,119,16
3c6174ab5da5,Lawf2,L3,-4,1,1.9090908765792847,1.9090909090909092,1,in_json,119,17
3c6174ab5da5,Lawf2,L3,-3,1,1.9090908765792847,1.9090909090909092,1,in_json,119,18
3c6174ab5da5,Lawf2,L3,-2,1,1.9090908765792847,1.9090909090909092,1,in_json,119,19
3c6174ab5da5,Lawf2,L3,-1,1,1.9090908765792847,1.9090909090909092,1,in_json,119,20
3c6174ab5da5,Lawf2,L3,0,1,1.9090908765792847,1.9090909090909092,1,in_json,119,21
3c6174ab5da5,Lawf2,L3,1,1,1.9090908765792847,1.9090909090909092,1,in_json,119,22
3c6174ab5da5,Lawf2,L3,2,1,1.9090908765792847,1.9090909090909092,1,in_json,119,23
