# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=fb2303d241ed0966033b63a3d9f9b64ec1e47cea5376932360b8cfb96ae93943; see bank.meta.json
json_index,birth_id,src,tar,alpha,alpha_fixed,alpha_references,lambda_mult,edge_type,n_offsets_json,n_synapses_json_total,instantiated,n_offsets_compiled,n_offsets_hull_filled,n_offsets_dropped,n_synapses_compiled_total,note
193,212,Mi1,Mi15,1,False,NernPC2018,1.8810869396455856,chem,1,3.875,True,1,0,0,3.875,
194,216,Mi1,T2,1,False,NernPC2018,4.472649556766284,chem,4,15.881818181818181,True,4,0,0,15.881818056106567,
195,217,Mi1,T2a,1,False,NernPC2018,2.4349349579477098,chem,4,22.033333333333335,True,4,0,0,22.03333330154419,
196,218,Mi1,T3,1,False,NernPC2018,2.274155349750431,chem,8,49.94563492063492,True,8,0,0,49.945634603500366,
197,219,Mi1,T4a,1,False,NernPC2018,1.9633244851823997,chem,14,59.00000000000001,True,23,9,0,68.00000035762787,
198,220,Mi1,T4b,1,False,NernPC2018,1.5517206746953098,chem,10,51.0,True,12,2,0,53.00000011920929,
199,221,Mi1,T4c,1,False,NernPC2018,1.5313976122636304,chem,14,66.0,True,18,4,0,69.99999952316284,
200,222,Mi1,T4d,1,False,NernPC2018,2.213927150944629,chem,8,59.00000000000001,True,8,0,0,59.0,
201,223,Mi1,Tm1,1,False,NernPC2018,15.259460599069506,chem,1,4.423076923076923,True,1,0,0,4.42307710647583,
202,225,Mi1,Tm3,1,False,NernPC2018,2.4759139452827497,chem,9,39.560943223443225,True,9,0,0,39.560943365097046,
203,224,Mi1,Tm20,1,False,NernPC2018,6.36426747154671,chem,1,2.2,True,1,0,0,2.200000047683716,
204,230,Mi1,TmY3,1,False,NernPC2018,5.477098481286251,chem,8,24.991666666666667,True,8,0,0,24.991666555404663,
205,231,Mi1,TmY9,1,False,NernPC2018,2.365767762307582,chem,2,2.392857142857143,True,2,0,0,2.3928571939468384,
206,226,Mi1,TmY13,1,False,NernPC2018,1.5891862259789111,chem,1,1.3333333333333333,True,1,0,0,1.3333333730697632,
