bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
shuffle32,32,shuffle,0.3625262710534184,0.39552624553909693,1.0275361623712356,0.5835484505526938,0.39241909702155303,0.3524764433343164,0.4269605512529261,0.36496959287870734,0.34924132015057074,0.3497550177896567,0.34032085596545647,0.3472146461533113,0.3733163788621554,0.3285888071255303
shuffle33,33,shuffle,0.3632073065154483,0.4049713817038064,1.026862815189658,0.5799936201213235,0.40528874548552,0.32801623484920045,0.3494815083588333,0.3665216573485858,0.38855366951925885,0.334202308412147,0.38488299291398353,0.3429775497031102,0.3874952291230805,0.34465316944076363
shuffle34,34,shuffle,0.36141492715689005,0.39678223245470423,1.0452830869173275,0.5940047250583003,0.34499562517164756,0.343664555631918,0.3732811380734839,0.33512995707158005,0.4076977975066709,0.36425438239843155,0.3725641883268591,0.36033537588261133,0.3675366668465428,0.34468958465915517
shuffle35,35,shuffle,0.3600931470799119,0.40398484932561446,1.02443372281493,0.5684914049947485,0.4107245348711646,0.3087000744105337,0.37098033721507206,0.32294102935250146,0.3733588875228723,0.32867398669714304,0.3316386827513627,0.3484456982671346,0.3777658459793591,0.4277023937319759
shuffle36,36,shuffle,0.3618439529111736,0.40624193377628365,1.0483191779543044,0.5625253455343074,0.3265547834357432,0.3826134173351388,0.3682584084331971,0.35350225449247785,0.35403268233528523,0.37070691720379556,0.3086016360296805,0.4000554012451131,0.3613223079872959,0.39279172061400874
shuffle37,37,shuffle,0.35940906739799827,0.4200047253086317,1.0199506184019915,0.5919729777917387,0.32895969859825597,0.3725162017334471,0.41298064459500544,0.34461095362819627,0.3301670311579082,0.38695235621858404,0.3681656971720314,0.3290631944662327,0.36190924272397706,0.3587656536863443
shuffle38,38,shuffle,0.3624032875717858,0.4100664305597424,1.0270944804587034,0.589872098827774,0.3625739620176742,0.35500844434283507,0.3437694553813875,0.3987124069069612,0.3958044500767589,0.34950092644792924,0.3245646994840391,0.37021849741422175,0.3984079740804778,0.32547205956557335
shuffle39,39,shuffle,0.36246029523496803,0.40160112495757155,1.0414148743126432,0.5541047932330827,0.33962354130404104,0.3249404863859008,0.343078540166165,0.3896743351819988,0.3746422513986434,0.3965829172698424,0.37942824430735655,0.35936810237830197,0.34150581313059386,0.37575872082683687
shuffle40,40,shuffle,0.36529048016947074,0.39641489814254743,1.0417500671270126,0.5195427155286203,0.3325822576551647,0.4266374673107478,0.35895072213552803,0.3267322917941672,0.37760884604105094,0.34581848895791384,0.38682946890564573,0.3424358075363774,0.39271883494520593,0.3625906164129062
shuffle41,41,shuffle,0.36322453302070357,0.40004365204499726,1.0377358465494388,0.5782050248119506,0.339932972771579,0.3090795609473951,0.4132116599426352,0.369717613358323,0.3585312566895449,0.3836826863377603,0.4046303918860153,0.31942821305743296,0.36413685295992987,0.3698941222564196
