path,run_a,run_b,variant,alpha,aggregate_hook,aggregate_per_item_mean,hook_minus_per_item_mean,bn_batches,wall_s,item_sequence_02_ambush_2_split_00,item_sequence_02_ambush_2_split_01,item_sequence_02_ambush_2_split_02,item_sequence_07_bamboo_1_split_00,item_sequence_07_bamboo_1_split_01,item_sequence_07_bamboo_1_split_02,item_sequence_09_bandage_1_split_00,item_sequence_09_bandage_1_split_01,item_sequence_09_bandage_1_split_02,item_sequence_12_cave_4_split_00,item_sequence_13_market_2_split_00,item_sequence_13_market_2_split_01,item_sequence_13_market_2_split_02,item_sequence_16_mountain_1_split_00,item_sequence_16_mountain_1_split_01,item_sequence_16_mountain_1_split_02
control_0_to_1,000,001,1,0.475,1238.008189201355,1238.0081882476807,9.5367431640625e-07,,0.642,4202.1708984375,4504.28173828125,4914.974609375,199.88754272460938,210.4744110107422,242.7184295654297,705.8999633789062,717.5321044921875,573.961181640625,1224.8001708984375,814.2119140625,532.62158203125,291.2424621582031,267.29058837890625,181.3433837890625,224.72003173828125
control_0_to_1,000,001,1,0.5,1241.3256072998047,1241.3256063461304,9.5367431640625e-07,,0.726,4204.50927734375,4507.0986328125,4918.69970703125,211.12741088867188,222.00973510742188,254.0446014404297,698.5557250976562,709.7903442382812,566.8502807617188,1226.855224609375,820.5895385742188,537.6823120117188,298.4383544921875,274.8056945800781,187.423095703125,222.72976684570312
control_0_to_1,000,001,1,0.525,1244.9620170593262,1244.9620170593262,0.0,,0.464,4206.4716796875,4509.6083984375,4922.16748046875,223.06065368652344,234.26153564453125,266.057861328125,691.2097778320312,701.939697265625,559.6705932617188,1229.4188232421875,827.5042114257812,543.031494140625,306.1473693847656,282.9126281738281,194.3895263671875,221.54054260253906
control_0_to_1,000,001,1,0.55,1248.936601638794,1248.9366340637207,-3.24249267578125e-05,,0.774,4208.29296875,4511.974609375,4925.37548828125,235.57920837402344,247.06610107421875,278.59735107421875,684.0054931640625,694.1749877929688,552.644287109375,1232.5521240234375,834.8511352539062,548.5386352539062,314.2993469238281,291.5811462402344,202.17762756347656,221.275634765625
control_0_to_1,000,001,1,0.6,1258.9047889709473,1258.9047918319702,-2.86102294921875e-06,,0.54,4216.1025390625,4519.0693359375,4931.8359375,262.91949462890625,274.9271545410156,305.88348388671875,670.9935302734375,679.2648315429688,539.3430786132812,1240.6859130859375,851.28271484375,560.50390625,332.4295959472656,311.41998291015625,221.28269958496094,224.532470703125
control_0_to_1,000,001,1,0.65,1272.5870599746704,1272.587061882019,-1.9073486328125e-06,,0.544,4230.6826171875,4528.8046875,4941.41748046875,294.1956787109375,306.699951171875,337.0653076171875,660.1915893554688,665.219482421875,527.0924682617188,1250.2969970703125,871.8196411132812,577.0093383789062,354.47381591796875,336.0621643066406,246.1962432861328,234.16552734375
control_0_to_1,000,001,1,0.7,1294.4432344436646,1294.4432363510132,-1.9073486328125e-06,,0.538,4254.13818359375,4547.19775390625,4957.62939453125,332.1053771972656,344.59210205078125,374.4670715332031,651.0867309570312,651.0697631835938,515.1316528320312,1268.39111328125,909.7091674804688,620.6431884765625,387.17913818359375,367.84368896484375,278.1226806640625,251.78477478027344
control_0_to_1,000,001,1,0.75,1330.0660076141357,1330.0659790039062,2.86102294921875e-05,,0.533,4273.98193359375,4572.10498046875,4972.27783203125,400.3424987792969,402.7847595214844,433.3914794921875,647.7864990234375,636.9365844726562,504.0181579589844,1315.8104248046875,960.4981079101562,677.90576171875,451.13824462890625,418.28778076171875,325.8237609863281,287.96685791015625
control_0_to_1,000,001,1,0.8,1439.8225212097168,1439.822618484497,-9.72747802734375e-05,,0.537,4268.494140625,4580.26220703125,4996.86669921875,595.2365112304688,587.8487548828125,624.4824829101562,725.3388061523438,669.8471069335938,543.9353637695312,1415.7076416015625,1085.6253662109375,776.8489990234375,622.236083984375,587.937255859375,494.9530334472656,461.54144287109375
control_0_to_1,000,001,1,0.85,2936.7040100097656,2936.705390930176,-0.00138092041015625,,0.539,4401.51025390625,4953.51904296875,5622.84228515625,2786.05859375,2818.49560546875,2792.5341796875,2400.062744140625,2298.541015625,2214.552978515625,3491.671142578125,2965.064697265625,2690.9150390625,2758.86962890625,1492.560546875,1461.277587890625,1838.8109130859375
control_0_to_1,000,001,1,0.9,2173.7119903564453,2173.7116165161133,0.00037384033203125,,0.527,4215.8974609375,4611.78515625,5109.23486328125,1733.8275146484375,1755.3377685546875,1755.8037109375,1426.862060546875,1403.33740234375,1473.3062744140625,2552.20703125,2011.6497802734375,1698.336669921875,1736.270263671875,1052.1910400390625,1047.8189697265625,1195.5198974609375
control_0_to_1,000,001,1,0.95,1569.341651916504,1569.3413333892822,0.0003185272216796875,,0.542,4041.31982421875,4371.58056640625,4787.37841796875,862.2775268554688,833.2191162109375,828.2813110351562,973.4459838867188,958.1883544921875,872.4361572265625,1787.8319091796875,1230.50146484375,1106.15625,1126.2315673828125,381.7402648925781,379.8726806640625,568.9999389648438
control_0_to_1,000,001,1,1.0,1144.636236190796,1144.6362690925598,-3.2901763916015625e-05,,0.604,3935.177001953125,4312.63427734375,4714.099609375,105.06287384033203,103.01036071777344,123.58769226074219,692.60546875,706.9354248046875,559.332275390625,1190.2056884765625,678.2033081054688,446.2204895019531,230.7196044921875,184.67376708984375,121.17344665527344,210.5390167236328
